tick,lap,progress,speed,to_middle,moving_angle,steering,throttle,brake,collided,obs_count,obs_nearest_dist,target_speed,stuck_ticks,reverse_ticks,elapsed_ms
1,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,0
2,1,0.4,-0.0,0.010,-123.8,1.000,1.000,0.000,false,0,-1.0,127.6,0,0,75
3,1,0.4,-0.0,0.010,52.8,-0.603,1.000,0.000,false,0,-1.0,127.6,0,0,199
4,1,0.4,0.0,0.010,-10.8,0.104,1.000,0.000,false,0,-1.0,127.6,0,0,312
5,1,0.4,-0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,421
6,1,0.4,-0.0,0.010,-8.7,0.080,1.000,0.000,false,0,-1.0,127.6,0,0,530
7,1,0.4,-0.0,0.010,-155.6,1.000,1.000,0.000,false,0,-1.0,127.6,0,0,639
8,1,0.4,-0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,748
9,1,0.4,-0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,864
10,1,0.4,-0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,972
11,1,0.4,-0.0,0.010,33.6,-0.390,1.000,0.000,false,0,-1.0,127.6,0,0,1080
12,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,1190
13,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,1298
14,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,1409
15,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,1519
16,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,1626
17,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,1735
18,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,1846
19,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,1956
20,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,2065
21,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,2172
22,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,2287
23,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,2391
24,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,2500
25,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,2609
26,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,2720
27,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,2830
28,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,2939
29,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,3049
30,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,3159
31,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,3269
32,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,3386
33,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,3493
